file,firstDate,lastDate
itc,20150428,20150703
itc25,20150428,20150904
itc75,20150904,20150703
rcom,20150428,20150703
rcom25,20150428,20150904
rcom75,20150904,20150703
reliance,20150428,20150703
reliance25,20150428,20150904
reliance75,20150904,20150703
tatachem,20150428,20150703
tatachem25,20150428,20150903
tatachem75,20150903,20150703
techm,20150428,20150703
techm25,20150428,20150331
techm75,20150331,20150703
tvsmotor,20150428,20150703
tvsmotor25,20150428,20150331
tvsmotor75,20150331,20150703
